Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998897516375257;0,745511955286436;0,163458431632583;0,130089284195267
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998897516375257;0,745511955286436;0,163458431632583;0,130089284195267
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998642155294807;0,794339456175339;0,182080071916202;0,134145861024185
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998642155294807;0,794339456175339;0,182080071916202;0,134145861024185
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,997621795398662;0,998820321993714;0,796304681063409;0,186899024956464;0,136088116775446
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,997621795398662;0,998820321993714;0,796304681063409;0,186899024956464;0,136088116775446
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,997837134897393;1,060251501239464;0,138908812073410;0,139868608668179
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,997837134897393;1,060251501239464;0,138908812073410;0,139868608668179
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998691830555067;0,762034882326484;0,146254060108680;0,140417364584151
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998691830555067;0,762034882326484;0,146254060108680;0,140417364584151
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima;3;-0,942567910495821;0,998998850645562;0,692661022819233;0,131530088176972;0,140431136195111
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima;3;-0,942567910495821;0,998998850645562;0,692661022819233;0,131530088176972;0,140431136195111
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima;3;-0,999000000000000;0,998894454786864;0,728163726391269;0,133474213511108;0,140783574863217
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima;3;-0,999000000000000;0,998894454786864;0,728163726391269;0,133474213511108;0,140783574863217
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;0,674799344755625;0,137608385654609;0,140933394576237
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima;3;-0,999000000000000;0,999000000000000;0,674799344755625;0,137608385654609;0,140933394576237
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima;3;-0,999000000000000;0,998351977654653;0,825658943128424;0,135855786141012;0,142002703650963
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima;3;-0,999000000000000;0,998351977654653;0,825658943128424;0,135855786141012;0,142002703650963
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998945980503085;0,748740903737621;0,152444418312121;0,142257879348528
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998945980503085;0,748740903737621;0,152444418312121;0,142257879348528
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998723007553746;0,759926428597413;0,193115444995701;0,142713533569166
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998723007553746;0,759926428597413;0,193115444995701;0,142713533569166
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998547343755003;0,764152597495730;0,151928004426817;0,142722646268498
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998547343755003;0,764152597495730;0,151928004426817;0,142722646268498
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998820914821115;0,803519671828050;0,181798064708116;0,142740863999007
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998820914821115;0,803519671828050;0,181798064708116;0,142740863999007
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998879416788144;0,755329275000337;0,174323194543929;0,143108372601445
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998879416788144;0,755329275000337;0,174323194543929;0,143108372601445
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998961028983918;0,746126803150950;0,151974057310100;0,143677647316139
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998961028983918;0,746126803150950;0,151974057310100;0,143677647316139
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998323100564925;0,899199851478798;0,112204302069374;0,144036933354741
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,998323100564925;0,899199851478798;0,112204302069374;0,144036933354741
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Gas_arima, Capital_arima;3;-0,998591150982640;0,998356572725174;0,893267396937628;0,110384848438155;0,145041490002099
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,998591150982640;0,998356572725174;0,893267396937628;0,110384848438155;0,145041490002099
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998313065908750;0,915570498870810;0,106787433965272;0,145986710567879
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima;3;-0,999000000000000;0,998313065908750;0,915570498870810;0,106787433965272;0,145986710567879
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,637423941277014;0,169683597203006;0,146226611878837
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,637423941277014;0,169683597203006;0,146226611878837
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,630289165162553;0,165953881551830;0,146387290894310
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,630289165162553;0,165953881551830;0,146387290894310
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, EurosDesembolsado_arima;3;-0,989248417421816;0,998847218312519;0,617888077151750;0,167566518634275;0,146736444511944
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept EurosDesembolsado_arima;3;-0,989248417421816;0,998847218312519;0,617888077151750;0,167566518634275;0,146736444511944
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,659145949554436;0,186292583534747;0,146842751211304
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,659145949554436;0,186292583534747;0,146842751211304
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,640104330855263;0,172625306412664;0,147023305825528
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,640104330855263;0,172625306412664;0,147023305825528
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,687019877651239;0,179690085900327;0,147266009202440
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept ActivoHombres_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,687019877651239;0,179690085900327;0,147266009202440
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998586826241030;0,741052727209270;0,154038584030108;0,147433037598959
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,999000000000000;0,998586826241030;0,741052727209270;0,154038584030108;0,147433037598959
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Capital_arima;3;-0,999000000000000;0,998329313910127;0,892116023927769;0,118501762781312;0,147464812690665
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept Capital_arima;3;-0,999000000000000;0,998329313910127;0,892116023927769;0,118501762781312;0,147464812690665
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,998316038345564;0,894096200745211;0,120230282911040;0,147546078355138
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept Electricidad_arima, Intercept Capital_arima;3;-0,999000000000000;0,998316038345564;0,894096200745211;0,120230282911040;0,147546078355138
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998373814941224;0,882374896887418;0,115717219018209;0,148131648856546
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,999000000000000;0,998373814941224;0,882374896887418;0,115717219018209;0,148131648856546
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,708702453616663;0,208475239387923;0,148207674210557
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,708702453616663;0,208475239387923;0,148207674210557
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998362596781184;0,924365057560464;0,130882250555115;0,148589337495279
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima;3;-0,999000000000000;0,998362596781184;0,924365057560464;0,130882250555115;0,148589337495279
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,714030412098393;0,210496902652784;0,149270054029767
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,714030412098393;0,210496902652784;0,149270054029767
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998404259466563;0,913081122515823;0,114271434457899;0,149571272649884
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima;3;-0,999000000000000;0,998404259466563;0,913081122515823;0,114271434457899;0,149571272649884
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998962145801232;0,710939963627762;0,152228179531657;0,149587926785809
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998962145801232;0,710939963627762;0,152228179531657;0,149587926785809
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,997612957783075;0,998878544543673;0,770112129677719;0,185287473389421;0,149662373028441
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,997612957783075;0,998878544543673;0,770112129677719;0,185287473389421;0,149662373028441
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima;3;-0,999000000000000;0,998912314280923;0,734871868465825;0,132917594774240;0,149886345899995
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima;3;-0,999000000000000;0,998912314280923;0,734871868465825;0,132917594774240;0,149886345899995
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998388622663717;0,920075235678683;0,129638585815385;0,149959009948359
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept Carbón y derivados_arima;3;-0,999000000000000;0,998388622663717;0,920075235678683;0,129638585815385;0,149959009948359
Total_arima, ConsumoEuros_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998356282864851;0,942825767971484;0,133684639459107;0,150650897344730
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima;3;-0,999000000000000;0,998356282864851;0,942825767971484;0,133684639459107;0,150650897344730
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, NumeroSociedades_arima, Gas_arima;3;-0,999000000000000;0,998753746172704;0,656922070732130;0,131458557381200;0,151117877874738
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima;3;-0,999000000000000;0,998753746172704;0,656922070732130;0,131458557381200;0,151117877874738
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,694338296827859;0,145530781047101;0,151123336465767
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,694338296827859;0,145530781047101;0,151123336465767
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;0,638108377213581;0,139291579083810;0,151435012321685
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima;3;-0,999000000000000;0,999000000000000;0,638108377213581;0,139291579083810;0,151435012321685
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima;3;-0,999000000000000;0,998893803999625;0,732127443118213;0,133444784586740;0,151485879271732
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima;3;-0,999000000000000;0,998893803999625;0,732127443118213;0,133444784586740;0,151485879271732
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998611651627549;0,693880667241739;0,138090621043693;0,151913644837815
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,999000000000000;0,998611651627549;0,693880667241739;0,138090621043693;0,151913644837815
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,692647257277356;0,148028613267226;0,151976720330330
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,692647257277356;0,148028613267226;0,151976720330330
Total_arima, ConsumoEuros_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998328235250226;0,941609996172225;0,138035644992292;0,152030940328076
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,999000000000000;0,998328235250226;0,941609996172225;0,138035644992292;0,152030940328076
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,687464876049853;0,144793255512954;0,152124944214419
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,687464876049853;0,144793255512954;0,152124944214419
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,691270047013424;0,147533374236676;0,152299457226073
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,691270047013424;0,147533374236676;0,152299457226073
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,689088305809404;0,144011665254822;0,152392746450495
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,689088305809404;0,144011665254822;0,152392746450495
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998832154044366;0,757144659173417;0,208871023776566;0,152682398030823
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998832154044366;0,757144659173417;0,208871023776566;0,152682398030823
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima;3;-0,999000000000000;0,999000000000000;0,703338905367716;0,139943321901210;0,152759261128141
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima;3;-0,999000000000000;0,999000000000000;0,703338905367716;0,139943321901210;0,152759261128141
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,703121792023711;0,137188282905544;0,152950672192431
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,703121792023711;0,137188282905544;0,152950672192431
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,705278193816451;0,127614359542141;0,153649409904296
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,705278193816451;0,127614359542141;0,153649409904296
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Carbón y derivados_arima, Capital_arima;3;-0,998998359775770;0,998346698428252;0,924919709495857;0,111542718563784;0,153815934735787
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivoHombres_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,998998359775770;0,998346698428252;0,924919709495857;0,111542718563784;0,153815934735787
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998890646036112;0,744835074721899;0,158302055300277;0,153999132660843
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,998890646036112;0,744835074721899;0,158302055300277;0,153999132660843
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,998521249042708;0,766994276536605;0,163275188376978;0,154024531116141
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Capital_arima;3;-0,999000000000000;0,998521249042708;0,766994276536605;0,163275188376978;0,154024531116141
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998865250719086;0,716715935700752;0,145686902828333;0,154069325363283
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998865250719086;0,716715935700752;0,145686902828333;0,154069325363283
Total_arima, ConsumoEuros_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998361422899457;0,943634698050568;0,154563865063564;0,154069355124327
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima;3;-0,999000000000000;0,998361422899457;0,943634698050568;0,154563865063564;0,154069355124327
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998918138631136;0,751036108853166;0,162576365753276;0,154119583869453
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept PobTotal_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,998918138631136;0,751036108853166;0,162576365753276;0,154119583869453
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,698659837106879;0,130095989756033;0,154175352532683
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Electricidad_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,698659837106879;0,130095989756033;0,154175352532683
